file,module,theorem,lineno,axioms_total,axioms_load_bearing,status
AccessControlEnumerable.v,AccessControlEnumerableEquivalence,run_fun_getRoleMemberCount_656_equivalent,250,22,10,OK
AccessControlEnumerable.v,AccessControlEnumerableEquivalence,run_fun_getRoleMember_641_equivalent,612,22,10,OK
Guardian.v,GuardianEquivalence,run_hasRole_equivalent,3252,22,10,OK
Guardian.v,GuardianEquivalence,run_grantRole_1468_observed_behavior,5554,1,1,OK
Guardian.v,GuardianEquivalence,run_grantRole_1359_equivalent,6452,40,28,OK
Guardian.v,GuardianEquivalence,run_revokeRole_1378_equivalent,10524,28,16,OK
Guardian.v,GuardianEquivalence,run_cancel_equivalent_make_state,11787,17,5,OK
ProposalLib.v,ProposalLibEquivalence,run_fun__governor_679_equivalent,465,10,0,OK
ProposalLib.v,ProposalLibEquivalence,run_fun__validateProposal_507_equivalent,1948,18,6,OK
ProposalLib.v,ProposalLibEquivalence,run_fun__saveProposal_580_equivalent,1991,16,4,OK
ProposalLib.v,ProposalLibEquivalence,run_fun_proposeOptimistic_179_equivalent,2035,20,8,OK
ProposalLib.v,ProposalLibEquivalence,run_fun_proposePessimistic_288_equivalent,2099,18,6,OK
ProposalLib.v,ProposalLibEquivalence,run_fun_transitionToPessimistic_400_equivalent,2156,16,4,OK
ReserveOptimisticGovernor.v,ReserveOptimisticGovernorEquivalence,run_propose_equivalent,1386,16,4,OK
ReserveOptimisticGovernor.v,ReserveOptimisticGovernorEquivalence,run_castVote_equivalent,1447,16,4,OK
ReserveOptimisticGovernor.v,ReserveOptimisticGovernorEquivalence,run_execute_equivalent,1508,16,4,OK
RewardTokenRegistry.v,RewardTokenRegistryEquivalence,run_isRegistered_equivalent,649,18,6,OK
RewardTokenRegistry.v,RewardTokenRegistryEquivalence,run_registerRewardToken_equivalent_make_state,1629,16,4,OK
RewardTokenRegistry.v,RewardTokenRegistryEquivalence,run_unregisterRewardToken_equivalent_make_state,1779,16,4,OK
SelectorRegistry.v,SelectorRegistryEquivalence,run_registerSelectors_equivalent_make_state,501,20,8,OK
SelectorRegistry.v,SelectorRegistryEquivalence,run_unregisterSelectors_equivalent_make_state,548,20,8,OK
SelectorRegistry.v,SelectorRegistryEquivalence,run_isAllowed_equivalent_make_state,641,16,4,OK
SelectorRegistry.v,SelectorRegistryEquivalence,run_targets_equivalent_make_state,705,15,3,OK
SelectorRegistry.v,SelectorRegistryEquivalence,run_selectorsAllowed_equivalent_make_state,750,15,3,OK
StakingVaultAdmin.v,StakingVaultAdminEquivalence,run_setUnstakingDelay_equivalent,2409,30,18,OK
StakingVaultAdmin.v,StakingVaultAdminEquivalence,run_setNativeRewardRate_equivalent,2457,15,3,OK
StakingVaultAdmin.v,StakingVaultAdminEquivalence,run_grantRole_equivalent,2514,14,2,OK
StakingVaultAdmin.v,StakingVaultAdminEquivalence,run_revokeRole_equivalent,2551,14,2,OK
StakingVaultAdmin.v,StakingVaultAdminEquivalence,run_renounceRole_equivalent,2588,13,1,OK
StakingVaultAdmin.v,StakingVaultAdminEquivalence,run_authorizeUpgrade_equivalent,2630,14,2,OK
StakingVaultAdmin.v,StakingVaultAdminEquivalence,run_upgradeToAndCall_equivalent,2672,14,2,OK
StakingVaultDelegation_methodology.v,StakingVaultDelegationMethodology,run_delegate_equivalent_methodology,1449,1,1,OK
StakingVaultDelegation_methodology.v,StakingVaultDelegationMethodology,run_delegateOptimistic_equivalent_methodology,1475,1,1,OK
StakingVaultDelegation_methodology.v,StakingVaultDelegationMethodology,run_delegateBySig_equivalent_methodology,1501,4,4,OK
StakingVaultDelegation_methodology.v,StakingVaultDelegationMethodology,run_delegateOptimisticBySig_equivalent_methodology,1532,4,4,OK
StakingVaultExchange.v,StakingVaultExchangeEquivalence,run_deposit_equivalent,2314,20,8,OK
StakingVaultExchange.v,StakingVaultExchangeEquivalence,run_mint_equivalent,2368,23,11,OK
StakingVaultExchange.v,StakingVaultExchangeEquivalence,run_withdraw_equivalent,2421,21,9,OK
StakingVaultExchange.v,StakingVaultExchangeEquivalence,run_redeem_equivalent,2476,24,12,OK
StakingVaultRewards.v,StakingVaultRewardsEquivalence,run_setRewardRatio_equivalent_make_state,1110,18,6,OK
StakingVaultRewards.v,StakingVaultRewardsEquivalence,run_poke_equivalent_make_state,1157,18,6,OK
StakingVaultRewards.v,StakingVaultRewardsEquivalence,run_claimRewards_equivalent_make_state,1200,19,7,OK
ThrottleLib.v,MakeStateForm,run_getProposalsAvailable_equivalent_make_state,1236,22,10,OK
ThrottleLib.v,MakeStateForm,run_getProposalsAvailable_public_make_state,1626,22,10,OK
ThrottleLib.v,MakeStateForm,run_consumeProposalCharge_make_state,1710,24,12,OK
TimelockControllerOptimistic.v,TimelockControllerOptimisticEquivalence,run_fun_revokeOptimisticProposer_136_equivalent,1394,17,5,OK
TimelockControllerOptimistic.v,TimelockControllerOptimisticEquivalence,run_fun_executeBatchBypass_201_equivalent,1440,19,7,OK
TimelockControllerOptimistic.v,TimelockControllerOptimisticEquivalence,run_fun_scheduleBatch_1295_equivalent,1504,18,6,OK
TimelockControllerOptimistic.v,TimelockControllerOptimisticEquivalence,run_fun_executeBatch_1552_equivalent,1562,17,5,OK
TimelockControllerOptimistic.v,TimelockControllerOptimisticEquivalence,run_fun_cancel_1394_equivalent,1625,18,6,OK
UnstakingManager.v,UnstakingManagerEquivalence,run_createLock_make_state,1248,14,2,OK
UnstakingManager.v,UnstakingManagerEquivalence,run_cancelLock_make_state,1307,15,3,OK
UnstakingManager.v,UnstakingManagerEquivalence,run_claimLock_make_state,1350,14,2,OK
VersionRegistry.v,VersionRegistryEquivalence,run_isDeprecated_equivalent_scaffold,383,19,7,OK
VersionRegistry.v,VersionRegistryEquivalence,run_deployments_equivalent_scaffold,568,19,7,OK
VersionRegistry.v,VersionRegistryEquivalence,run_deprecateVersion_equivalent_make_state,1962,38,26,OK
VersionRegistry.v,VersionRegistryEquivalence,run_registerVersion_equivalent_make_state,2378,18,6,OK
